Year:,Seller:,Bike make:,Zone:,Starter:,Kilometers:,Warranty:,Condition:,Negotiable:,Lot number:,Price:,Bike model:,Fuel system:,Displacement:,Engine type:,Power:,Gearbox:,Ignition system:,Reserve fuel capacity:,Mileage:,Fuel control:,Transmission type:,Fuel comsumption:
2016,Owner,Cross X,Bagmati,Electric & Kick,10000,None,New,,83,"रु 4,60,000",250SE Off Road,carburetor,250cc,,,6,electric ,,,,manual,
,Owner,Bajaj,Koshi,,10500,None,New,,29,,Bajaj Pulsar 220F Frame,,,,,,,,,,,
2016,Owner,Honda,Lumbini,,20000,None,New,,27,,,,,,,,,,,,,
2016,Dealer,Bajaj,Gandaki,,15200,None,New,Negotiable,12,"रु 1,80,000",Bajaj Pulsar 180cc,,,,,,,,,,,
2015,Owner,Bajaj,Koshi,,20000,None,New,Negotiable,21,"रु 1,70,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2016,Owner,Honda,Bagmati,,23000,None,New,Negotiable,80,"रु 1,57,000",Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
,Dealer,Honda,Gandaki,,,None,Old,,6,,Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
2016,Owner,KTM,Koshi,,12800,None,New,,29,"रु 4,65,000",KTM RC 200,Fuel Injection,199 cc,,,,Spark Ignition,,35,Petrol,Chain Drive Wet multi-disc,
2016,Owner,KTM,Koshi,,12800,None,New,,29,"रु 4,65,000",KTM RC 200,Fuel Injection,199 cc,,,,Spark Ignition,,35,Petrol,Chain Drive Wet multi-disc,
2011,Owner,Honda,Narayani,Electric & Kick,50878,None,New,,18,"रु 80,000",Honda CB Unicorn DSS,Carburettor,149.10 ccm (9.10 cubic inches),"Single cylinder, four-stroke",13,5-speed,Digital CDI,,,OHC,Chain,1.67 litres/100 km (59.9 km/l or 140.85 mpg)
2018,Owner,Crossfire,Lumbini,Electric & Kick,3745,None,New,Not negotiable,43,"रु 5,50,000",Crossfire XZ250RR,Petrol,250cc,"Type Four-Stroke, Single Cylinder, liquid Cooled, Electric Start 4 Valve",32,6,,9.5,24,,"6-Speed, International Shift Pattern",
2014,Owner,Honda,Gandaki,,13000,None,New,,9,"रु 1,05,000",Honda Dio,,,,,,,,35,5 L,,
,Owner,Bajaj,Bagmati,,12500,None,New,,85,,Bajaj V15,,149.5 cc,"Single cylinder, 4 stroke, SOHC 2 valve, Air cooled, DTS-i",12,5,Carburetor,1.7 L,55,,5 Speed,
2017,Owner,Yamaha,Janakpur,Electric,13000,None,New,,10,,FZ-S FI,,149cc,,,,,,,,international ,
2010,Owner,Kawasaki,Bagmati,,35000,None,New,,41,"रु 3,50,000",Kawasaki Ninja,Keihin CVK30 x 2,249 cc,"Four-stroke, liquid-cooled, DOHC, parallel twin",,6-speed,TCBI with digital advance,,,DOHC,,
2011,Owner,Mahindra,Gandaki,,6500,None,Old,Negotiable,8,"रु 98,000",Mahindra Rodeo RZ,5 litre,124.6cc,4-Stroke,8,Automatic,,,,,,
,Owner,Hero,Bagmati,,41000,None,New,,56,,Hero Splendor PLUS,,,,,,,,,,,
2018,Owner,Honda,Gandaki,Electric & Kick,1000,None,New,,15,,Honda New Dio,,109cc,4Stroke air cooled SI engine,,,,,,,,
2016,Owner,KTM,Bagmati,,16487,None,New,Not negotiable,75,"रु 3,40,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
,Owner,Bajaj,Bagmati,Electric,10000,None,New,Negotiable,85,"रु 2,35,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2006,Owner,Bajaj,Bagmati,,24673,None,New,Not negotiable,22,"रु 45,000",Bajaj Discover 125 cc,,,,,,,,,,,
2015,Owner,Honda,Bagmati,,18715,None,New,Negotiable,68,"रु 1,25,000",Honda Dio,,,,,,,,,,,
2016,Owner,Honda,Bagmati,,24650,None,New,Negotiable,72,"रु 1,35,000",Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
2015,Owner,Crossfire,Gandaki,Electric,20000,None,New,Negotiable,11,"रु 3,20,000",Crossfire XZ250RR,Petrol,250cc,"Type Four-Stroke, Single Cylinder, Water Cooled, Electric Start 4 Valve",,,CDI,,16,Petrol,"5-Speed, International Shift Pattern",
2018,Owner,Other Bike Brand,Bagmati,Electric,3145,Available,New,Negotiable,94,"रु 2,85,000",,,150,,,6,,,35,Auto,Manaul,
,Owner,Hero,Lumbini,,45000,None,New,,7,,Hero Splendor NXG,"Carburettor. Side Draft, Variable Venturi Type",97.50 ccm (5.95 cubic inches),"Single cylinder, four-stroke",,4-speed,Digital CDI,1.80 litres (0.48 gallons),,OHC,Chain,
,Owner,Bajaj,Bagmati,,10000,None,New,,85,,Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2017,Owner,Hero,Bagmati,,10700,None,New,Not negotiable,83,"रु 1,70,000",Xtreme Sports,,,,,,,,,,,
,Owner,Bajaj,Bagmati,Electric,10000,None,New,Negotiable,85,"रु 2,40,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2014,Owner,Yamaha,Mechi,Electric & Kick,40000,None,New,Negotiable,6,"रु 1,40,000",Yamaha New FZS,,153,,,5,,,40-45,Petrol,,
2017,Owner,Bajaj,Bagmati,,13000,None,New,Negotiable,83,"रु 2,35,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,30plus,,,
2017,Owner,Aprilia,Rapti,Electric,18000,None,New,,4,"रु 1,80,000",SR 150,Petrol,,,,,,,,,,
2016,Owner,Yamaha,Gandaki,,865,None,New,Negotiable,12,"रु 1,00,000",Fascino,,,,,,,,,,,
2012,Owner,Bajaj,Bagmati,,41000,None,New,Negotiable,53,"रु 1,35,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2017,Owner,Bajaj,Gandaki,,6800,None,New,Not negotiable,14,"रु 2,80,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2013,Owner,UM Motorcycles,Lumbini,Electric & Kick,16000,None,New,Negotiable,17,"रु 1,30,000",Renegade Commando,,,,,,,,,,,
2014,Owner,Honda,Bagmati,Electric & Kick,14500,None,New,Negotiable,66,"रु 1,70,000",Honda CB Unicorn DSS,Carburettor,149.10 ccm (9.10 cubic inches),"Single cylinder, four-stroke",14,5-speed,Digital CDI,14,45,OHC,Chain,1.67 litres/100 km (59.9 km/l or 140.85 mpg)
2010,Owner,Honda,Bagmati,,40800,None,New,Negotiable,40,"रु 95,000",Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
2012,Owner,Honda,Gandaki,Electric & Kick,11000,None,New,Negotiable,13,"रु 80,000",Honda Dio,,,,,,,,,,,
2014,,Bajaj,Koshi,,46500,None,New,,34,,Bajaj Pulsar 150cc,,,,,,,,,,,
2018,Owner,Royal Enfield,Bagmati,,4500,Available,New,,92,"रु 4,75,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
2017,Owner,Yamaha,Gandaki,,7650,None,New,Negotiable,13,"रु 2,85,000",FZ25,,,,,,,,,,,
2017,Owner,KTM,Lumbini,,20000,None,New,Negotiable,31,"रु 3,40,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2014,,Bajaj,Koshi,,46500,None,New,,34,,Bajaj Pulsar 150cc,,,,,,,,,,,
2014,Owner,Yamaha,Mechi,Electric & Kick,40000,None,New,,6,,Yamaha New FZS,,153,,,5,,,,,,
2016,Owner,KTM,Gandaki,Electric,12100,Available,New,Negotiable,13,"रु 3,50,000",KTM Duke 200,Fuel injection,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",2 ltr,28 to 30 km/h,Fuel injection system,,
2015,Owner,Bajaj,Narayani,,19000,None,New,,36,,Bajaj Pulsar AS 150,Petrol,,,,,,,43,,Chain Drive,
2017,Owner,Bajaj,Gandaki,,13000,None,New,Negotiable,13,"रु 2,45,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2016,Owner,Honda,Lumbini,Electric & Kick,8200,Available,New,,30,,Honda Dio,,110 CC,,,,,,40,,,
2016,Owner,Bajaj,Bagmati,,15000,None,New,Negotiable,80,"रु 2,25,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2017,Owner,Bajaj,Bagmati,,18000,None,New,Negotiable,83,"रु 2,30,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
,,Honda,Gandaki,,25000,None,New,,3,"रु 35,000",Honda Dio,,,,,,,,,,,
2014,Owner,Honda,Gandaki,,,None,New,Negotiable,10,"रु 1,15,000",,,,,,,,,30,5 L,,
2013,Owner,Honda,Gandaki,,37000,None,New,Negotiable,9,"रु 1,20,000",Honda CB Unicorn DSS,Carburettor,149.10 ccm (9.10 cubic inches),"Single cylinder, four-stroke",13,5-speed,Digital CDI,,,OHC,Chain,1.67 litres/100 km (59.9 km/l or 140.85 mpg)
2017,Owner,Crossfire,Gandaki,Electric & Kick,10000,None,New,,12,"रु 4,50,000",Crossfire XZ250RR,Petrol,250cc,"Type Four-Stroke, Single Cylinder, Water Cooled, Electric Start 4 Valve",,,CDI,,,,"5-Speed, International Shift Pattern",
2013,Owner,Honda,Bagmati,,31000,None,New,Not negotiable,54,"रु 2,30,000",CBR 250 R,,,,,,,,,,,
2015,Owner,Yamaha,Gandaki,Electric,29000,None,New,,10,"रु 1,85,000",Yamaha New R15 Version 2.0,,149.8cc,4-stroke,17,6 Manual,,,35,,,
2017,Owner,Bajaj,Bagmati,Electric,3500,Available,New,Not negotiable,88,"रु 2,80,000",Avenger Cruise 220,,,,,,,,,,,
2011,Owner,TVS,Lumbini,,80000,None,New,Not negotiable,7,"रु 70,000",TVS Apache RTR 180cc,Carburettor. Mikuni BS-29,177.40 ccm (10.82 cubic inches),"Single cylinder, four-stroke",17,5-speed,IDI-Dual mode digital ignition,1.70 litres (0.45 gallons),,SOHC,Chain,
2015,Owner,Yamaha,Gandaki,Electric,29000,None,New,,10,"रु 1,85,000",Yamaha New R15 Version 2.0,,149.8cc,4-stroke,17,6 Manual,,,35,,,
2016,Owner,Bajaj,Gandaki,Electric,12000,None,New,,13,,Bajaj Pulsar 200 NS Naked Sport,,,,200,,,,35,,,
,Owner,Honda,Gandaki,Electric & Kick,9000,None,New,Negotiable,12,"रु 1,25,000",Honda Dio,,,,,,,,,,,
2017,Owner,Royal Enfield,Lumbini,,11000,None,New,,35,"रु 4,00,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
2017,Owner,Royal Enfield,Narayani,Electric & Kick,15500,None,New,Not negotiable,46,"रु 4,20,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,2 liter,,Petrol,,
2016,Owner,KTM,Gandaki,,25000,None,New,Negotiable,11,"रु 3,15,000",KTM Duke 390,,,"373.2cc, single cylinder, liquid-cooled",,6-speed Manual,Bosch digital integrated spark/fuel injection,,25,,"Wet clutch, 6-speed, chain",
2014,Owner,Royal Enfield,Gandaki,,25000,None,New,,14,"रु 3,50,000",Royal Enfield Classic 500cc,Keihin Electronic Fuel Injection,499 cc,"Single Cylinder, 4 stroke, Twinspark",27,5 Speed Constant Mesh,Digital Electronic Ignition,,,,,
2015,Owner,Bajaj,Mechi,,19030,None,New,Negotiable,7,"रु 1,65,000",Bajaj Pulsar AS 150,Petrol,149.50 cc,,,,,,53,,Chain Drive,
,,KTM,Bagmati,,5000,None,New,,90,"रु 4,10,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2014,Owner,Honda,Bagmati,,16000,None,New,Negotiable,73,"रु 2,70,000",Honda CBR 250R (Non ABS),"Injection. PGM-Fi, 38mm throttle body",249.40 ccm (15.22 cubic inches),"Single cylinder, four-stroke",,6-speed,Computer-controlled digital transistorized with electronic advance,,,DOHC,Chain,3.05 litres/100 km (32.8 km/l or 77.12 mpg)
2016,Owner,Suzuki,Bagmati,,11000,None,New,Negotiable,75,"रु 1,95,000",Gixxer SF,,,,,,,,,,,
2017,Owner,Yamaha,Gandaki,,4700,None,New,Negotiable,15,"रु 2,40,000",FZ-S FI,,,,,,,,,,,
2016,Owner,Bajaj,Narayani,,23400,None,New,Negotiable,39,"रु 1,75,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
,Owner,Mahindra,Mechi,,7000,None,New,,9,"रु 1,30,000",,,,,,,,,,,,
,Owner,Honda,Gandaki,,,None,New,,5,"रु 55,000",Honda Dio,,,,,,,,,,,
2006,Owner,Yamaha,Bagmati,Kick,35000,None,New,,24,,Yamaha SS125,Carburettor,125,"Air cooled, 4-stroke, SOHC",11,5-gear Constant mesh,CDI,2.5,30,16,,70KM/L
2012,Owner,Bajaj,Koshi,,28000,None,New,Negotiable,33,"रु 1,45,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2012,Owner,Hero,Lumbini,,26500,None,New,Negotiable,13,"रु 98,500",Hero Super Splendor DRS,,,,,,,,,,,
2017,Owner,KTM,Bagmati,,12000,None,New,,85,"रु 6,00,000",KTM RC 390,Petrol,373 cc,,,6 Manual,Spark Ignition,,25,,Chain Drive Wet multi-disc,
2018,Dealer,Other Bike Brand,Bagmati,,4000,None,New,,91,,,,,,,,,,,,,
2018,Owner,Yamaha,Bagmati,,7300,None,New,,90,,Yamaha FZ S V 2.0,Fuel Injection,149 cc,,,5 Speed Chain Drive clutch: Wet,Transistor Controlled Ignition,,45,Petrol,Manual Chain Drive,
2016,Owner,Honda,Bagmati,Electric & Kick,16000,None,New,,80,,Other Honda models,,,,,5,,,40/45,,,
2016,Owner,KTM,Bagmati,,14000,None,New,Negotiable,78,"रु 4,75,000",KTM Duke 390,,,"373.2cc, single cylinder, liquid-cooled",,6-speed Manual,Bosch digital integrated spark/fuel injection,,25,,"Wet clutch, 6-speed, chain",
2012,Owner,Hero,Lumbini,Electric & Kick,26600,None,New,,13,,Hero Super Splendor DRS,,,,125,,,1,,,,
,Owner,Yamaha,Bagmati,,,None,New,,49,"रु 1,60,000",Yamaha New R15 Version 2.0,,149.8cc,4-stroke,17,6 Manual,,,,,,
2016,Owner,UM Motorcycles,Bagmati,,20000,None,New,Negotiable,75,"रु 1,80,000",Renegade,,279cc,,,,,,30,Petrol powertrain,6 speed synchronized mesh,
2011,Owner,Mahindra,Gandaki,,6100,None,New,,8,,Mahindra Rodeo RZ,,124.6cc,4-Stroke,,Automatic,,,,,,
2016,Owner,Royal Enfield,Mechi,,11000,None,New,,7,"रु 3,60,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
,Owner,Bajaj,Lumbini,Electric,54000,None,New,,8,"रु 1,10,000",Bajaj Pulsar 220 Street Fighter,,,,,Good,,,30km/h,,,
2017,Owner,Yamaha,Gandaki,,3040,None,New,Not negotiable,13,"रु 1,50,000",Fascino,,,,,,,,,,,
2010,Owner,Honda,Bagmati,,25000,None,New,Negotiable,41,"रु 95,000",Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
2010,Owner,Hero,Bagmati,Electric & Kick,47000,None,New,,44,"रु 90,999",Hero CBZ Xtreme - DSS,Carburettor,149.2cc,"Air Cooled, 4- Stroke, ATFT",14,5-speed,spark,12,50,,,low
2017,Owner,Crossfire,Bagmati,,12500,None,New,Negotiable,84,"रु 4,50,000",Crossfire XZ250RR,Petrol,250cc,"Type Four-Stroke, Single Cylinder, Water Cooled, Electric Start 4 Valve",,,CDI,,,,"5-Speed, International Shift Pattern",
2016,Owner,Yamaha,Bagmati,,31000,None,New,,73,,Yamaha FZ S V 2.0,Fuel Injection,149 cc,,,5 Speed Chain Drive clutch: Wet,Transistor Controlled Ignition,,45,Petrol,Manual Chain Drive,
2015,Owner,Suzuki,Bagmati,,27000,None,New,Negotiable,71,रु 160,Suzuki Gixxer,Carbureted type fuel supply system,154.9cc,"4-stroke, single-cylinder",,5-speed,,,45,,,
,Owner,Hartford,Bagmati,,,None,New,,43,"रु 1,55,000",Hartford VR 150 H,,,,,,,,,,,
2011,Owner,Mahindra,Gandaki,Electric & Kick,6100,None,New,Negotiable,8,"रु 1,00,000",Mahindra Rodeo RZ,,124.6cc,4-Stroke,,Automatic,,,,,,Petrol
2015,Owner,Honda,Gandaki,,15700,None,New,Negotiable,10,"रु 2,05,000",CB Unicorn 160,,,,,,,,,,,
,Owner,TVS,Gandaki,,,None,New,,11,"रु 1,10,000",TVS Wego,Carburettor,109.70 ccm (6.69 cubic inches),"Single cylinder, four-stroke",8,Automatic,Digital DC CDI,,,OHC,Belt,
2017,Owner,TVS,Bagmati,,8000,None,New,,88,,TVS Apache RTR 200 4v,Carburetor Petrol,197.75 cc,SI 4 Stroke Oil Cooled Single Cylinder ,,Manual,IDI - Dual Mode Digital Ignition ,,35,,Chain Drive ,
2016,Owner,Crossfire,Bagmati,,24000,None,New,Negotiable,78,"रु 3,85,000",Crossfire XZ250RR,Petrol,250cc,"Type Four-Stroke, Single Cylinder, Water Cooled, Electric Start 4 Valve",,,CDI,,,,"5-Speed, International Shift Pattern",
2012,Owner,Bajaj,Narayani,,38000,None,New,Negotiable,22,"रु 1,20,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2017,,Bajaj,Bagmati,,9500,None,New,,88,,Bajaj Pulsar 220F Frame,,,,,,,,,,,
2012,Owner,Bajaj,Narayani,,38000,None,New,Negotiable,22,"रु 1,19,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2016,Owner,Bajaj,Lumbini,,38000,None,New,Negotiable,22,"रु 1,80,000",Bajaj Pulsar AS 200,,199.5 CC,"Liquid cooled, 4 stroke",,6,,,,,Manual,
2013,Owner,Bajaj,Lumbini,Electric,55000,None,New,Negotiable,17,"रु 1,30,000",Bajaj Pulsar 180cc,,,,,5,Electric,,40+,,,
2017,Owner,KTM,Lumbini,,4800,None,New,,37,,Duke 250,,,,,6,,,25-30,12,,
2013,Owner,Bajaj,Gandaki,,37,None,New,Negotiable,9,"रु 1,50,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2017,Owner,KTM,Gandaki,,12600,None,New,Negotiable,14,"रु 3,85,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2017,Owner,Hero,Sagarmatha,,3000,None,New,Not negotiable,9,"रु 1,60,000",Splendor iSmart,,,,,,,,,,,
2013,Owner,Bajaj,Koshi,,48000,None,New,Negotiable,28,"रु 1,30,000",Bajaj Pulsar 150cc,,,,,,,,,,,
2016,Owner,Yamaha,Lumbini,Electric,28500,None,New,Negotiable,26,"रु 1,75,000",FZ-S FI,,,,,,,,,,,
2018,Owner,Royal Enfield,Bagmati,Electric & Kick,2500,Available,New,Not negotiable,92,"रु 4,99,999",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,12l,35,Yas ,4,No
2017,Owner,Honda,Bagmati,,6000,None,New,,93,"रु 2,40,000",Honda CB Hornet 160R,,162.7 CC,"162.71cc, four stroke, air-cooled engine",,Five-speed manual greabox,Carburetor,,62,,5 Speed,
2015,Owner,Yamaha,Gandaki,Electric,22000,None,New,,11,"रु 2,00,000",YZF R15,,,,150,,,,,,,
,Owner,Hero,Bagmati,,,None,New,Negotiable,17,"रु 25,000",,,,,,,,,,,,
2017,Owner,KTM,Gandaki,,7000,None,New,Negotiable,14,"रु 3,90,000",KTM Duke 200,,200,"Single-cylinder, 4-stroke, spark-ignition engine, liquid-cooled",,"6-speed, claw shifted","Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",,,,,
2017,Owner,Bajaj,Gandaki,,12000,None,New,,,,Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2016,,Bajaj,Narayani,,,None,New,,39,"रु 1,65,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2017,Owner,Royal Enfield,Koshi,,9300,None,New,,31,"रु 4,20,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
2017,Owner,Bajaj,Lumbini,,10000,None,New,Negotiable,38,"रु 2,60,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2011,Owner,Honda,Bagmati,,32000,None,New,Negotiable,46,"रु 60,000",Honda Dio,,,,,,,,,,,
2016,Owner,Bajaj,Bagmati,Electric,18000,None,New,Negotiable,70,"रु 1,60,000",Bajaj Pulsar AS 200,petrol ,199.5 CC,"Liquid cooled, 4 stroke",150,6,self,18,35,petrol ,Manual,15
,Owner,Bajaj,Narayani,Electric & Kick,10073,None,New,Negotiable,50,"रु 2,30,000",Pulsar NS160,,,Dtsi,160,5,,2lites,40,,,
1989,,Royal Enfield,Bheri,,40000,None,New,Negotiable,1,"रु 2,20,000",Royal Enfield Standard Bullet 350cc,Micarb VM 24,346 cc,"Single Cylinder, Four Stroke, OHV, SI Engine, Air Cooled, Twinspark",20,,Digital TCI,,,,,
2017,Owner,Honda,Bagmati,Electric & Kick,3100,None,New,,89,,Honda CB Hornet 160R,,162.7 CC,"162.71cc, four stroke, air-cooled engine",,Five-speed manual greabox,Carburetor,,44,,5 Speed,
2012,Owner,Royal Enfield,Lumbini,Electric & Kick,27000,None,New,,12,,Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
,Owner,Honda,Bagmati,,8074,None,New,,77,,Honda Aviator,Carburettor,109.00 ccm (6.65 cubic inches),"Single cylinder, four-stroke",8,Automatic,Fully transistorised with electronic advance,,,OHC,Chain,
2017,Owner,Bajaj,Lumbini,,8000,None,New,Negotiable,38,"रु 2,50,000",Bajaj Pulsar 200 NS Naked Sport,,,,,,,,,,,
2016,Owner,KTM,Bagmati,,7500,None,New,Negotiable,74,"रु 4,50,000",KTM Duke 390,,,"373.2cc, single cylinder, liquid-cooled",,6-speed Manual,Bosch digital integrated spark/fuel injection,,25,,"Wet clutch, 6-speed, chain",
2016,Owner,Bajaj,Narayani,,19000,None,New,Negotiable,46,"रु 2,00,000",Bajaj Pulsar 220F Frame,,,,,,,,35,,,
2010,Owner,Hero,Narayani,,47000,None,New,Negotiable,14,"रु 90,000",Hero CBZ Xtreme - DSS,Carburettor,135 Cc,"Air Cooled, 4- Stroke, ATFT",14,4-speed,,,,,,
2017,Owner,Bajaj,Narayani,,6500,Available,New,Negotiable,49,"रु 2,65,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2012,Owner,Hartford,Gandaki,,17000,None,New,Negotiable,7,"रु 1,35,000",Hartford VR 150 H,,,,,,,,,,,
2014,Owner,Hartford,Gandaki,,,None,New,,10,,Hartford VR 150 H,,,,,,,,,,,
2016,Owner,Honda,Gandaki,,,None,New,,12,,Honda Dio,,,,,,,,,,,
2016,Owner,Royal Enfield,Lumbini,,25000,None,New,,29,"रु 3,50,000",Royal Enfield Classic 350cc,"UCAL 29mm, Constant Vacuum Carburettor",346 cc,"Single Cylinder, 4 stroke, Twinspark",20,5 Speed Constant Mesh,Transistorised Coil Ignition,,,,,
,,Bajaj,Bagmati,,14000,None,New,,75,"रु 2,10,000",Bajaj Pulsar 220 Street Fighter,,,,,,,,,,,
2017,Owner,Crossfire,Bagmati,,6000,None,New,Negotiable,86,"रु 4,85,000",Crossfire XZ250RR,Petrol,250cc,"Type Four-Stroke, Single Cylinder, Water Cooled, Electric Start 4 Valve",,,CDI,,,,"5-Speed, International Shift Pattern",
2016,Owner,Yamaha,Lumbini,,15000,None,New,Not negotiable,31,"रु 6,75,000",YZF R3,,,,,,,,,,,
2015,Owner,UM Motorcycles,Bagmati,Electric & Kick,20000,None,New,Not negotiable,72,"रु 1,74,999",DSR 230,PZ30 (Carburetor),200cc,"Single cylinder, 4-stroke",16,5,,2 ltr.,32,,Mannual,
2017,Owner,Bajaj,Gandaki,,12000,None,New,Negotiable,14,"रु 2,55,000",Bajaj Pulsar 220F Frame,,,,,,,,,,,
2016,Owner,Honda,Gandaki,,8000,None,New,,9540,,,,,,,,,,,,,
2012,Owner,Yamaha,Bagmati,,41250,None,New,Negotiable,49,"रु 1,00,000",Yamaha New R15 Version 2.0,,149.8cc,4-stroke,17,6 Manual,,,,,,
2012,Owner,Yamaha,Bagmati,,,None,New,,59,"रु 1,00,000",,,,,,,,,,,,
2012,Owner,Yamaha,Bagmati,,30000,None,New,Negotiable,50,रु 186,Yamaha New R15 Version 2.0,,149.8cc,4-stroke,17,6 Manual,,,,,,
1989,,Royal Enfield,Bheri,,40000,None,New,Negotiable,1,"रु 2,20,000",Royal Enfield Standard Bullet 350cc,Micarb VM 24,346 cc,"Single Cylinder, Four Stroke, OHV, SI Engine, Air Cooled, Twinspark",20,,Digital TCI,,,,,
2017,Owner,Crossfire,Bagmati,Electric & Kick,4500,None,New,,86,"रु 4,75,000",Crossfire XZ250RR,Petrol,250cc,"Type Four-Stroke, Single Cylinder, Water Cooled, Electric Start 4 Valve",,,CDI,,,,"5-Speed, International Shift Pattern",
2015,Owner,Yamaha,Koshi,,11400,None,New,Negotiable,25,"रु 1,20,000",Fascino,,,,,,,,,,,
2017,Owner,Bajaj,Mechi,,4500,None,New,Negotiable,9,"रु 1,60,000",Bajaj Discover 150cc,,,,,,,,,,,
2016,Owner,Honda,Bagmati,,11000,None,New,Negotiable,77,"रु 3,80,000",Other Honda models,,,,,,,,,,,
2011,,Honda,Bagmati,,23000,None,New,Negotiable,45,"रु 90,000",Honda CB Shine DSS,Carburettor. CV type,124.70 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10,4-speed,Digital CDI,,,OHC,Chain,1.54 litres/100 km (64.9 km/l or 152.74 mpg)
